country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability,defense_mechanism,resolution_time_hr,url,url_type,site_label
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44,pbs.org/wnet/broadway/stars/loesser_f.html,benign,bad
UK,2023,Phishing,Retail,28.54,699386,Nation-state,Weak Passwords,Encryption,20,biomedexperts.com/Profile.bme/1432937/Alberto_E_Tozzi,benign,bad
France,2016,Man-in-the-Middle,IT,41.79,453408,Nation-state,Social Engineering,VPN,8,http://www.poly-murau.at/index.php?option=com_content&view=article&id=45:0405k1&catid=19&Itemid=39,defacement,good
Germany,2019,Man-in-the-Middle,Government,64.8,276197,Unknown,Zero-day,Firewall,2,squatted158.com,phishing,good
USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23,www.cuecent.com/cuecent_bpm.html,phishing,bad
Russia,2016,DDoS,Healthcare,90.94,326955,Nation-state,Zero-day,VPN,21,store.debbieford.com/pages.php?CDpath=3&pID=4,benign,good
India,2021,DDoS,Telecommunications,35.19,155426,Nation-state,Zero-day,Firewall,16,paulchesne.com/,benign,bad
Brazil,2021,DDoS,Retail,75.1,740795,Hacker Group,Unpatched Software,Firewall,12,nwn.wikia.com/wiki/Magic_weapon,benign,bad
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58,http://cdogroup.alphansoprojects.com/wp-content/plugins/home/index.php?public/enroll/IdentifyUser-aspx-LOB=RBGLogon,phishing,good
France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7,gametrailers.com/video/trailer-coraline/44575,benign,good
Australia,2021,SQL Injection,Banking,92.66,49085,Hacker Group,Weak Passwords,VPN,32,plaxo.com/directory/L/57/23/index.html,benign,good
UK,2023,SQL Injection,Healthcare,22.8,3315,Nation-state,Unpatched Software,Antivirus,41,http://www.franekwilkomirski.pl/component/content/article/2-wiadomoci/9-franek-niech-zostanie-franek.html,defacement,good
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,http://mic.com/articles/108644/this-newspaper-trolled-the-oscars-in-the-best-way-possible,benign,bad
